organism,pathway,code_enzyme
hsa,path:hsa00010,EC:2.7.1.11
hsa,path:hsa00010,EC:1.2.1.12
hsa,path:hsa00010,EC:6.2.1.1
hsa,path:hsa00010,EC:5.4.2.11
hsa,path:hsa00010,EC:5.3.1.9
hsa,path:hsa00010,EC:2.7.1.147
hsa,path:hsa00010,EC:1.2.4.1
hsa,path:hsa00010,EC:1.2.1.3
hsa,path:hsa00010,EC:5.4.2.4
hsa,path:hsa00010,EC:4.1.1.32
hsa,path:hsa00010,EC:1.2.1.31
hsa,path:hsa00010,EC:1.1.1.1
hsa,path:hsa00010,EC:1.2.1.8
hsa,path:hsa00010,EC:2.7.2.3
hsa,path:hsa00010,EC:2.7.1.1
hsa,path:hsa00010,EC:1.8.1.4
hsa,path:hsa00010,EC:2.3.1.12
hsa,path:hsa00010,EC:5.1.3.3
hsa,path:hsa00010,EC:2.7.1.2
hsa,path:hsa00010,EC:4.1.2.13
hsa,path:hsa00010,EC:4.2.1.11
hsa,path:hsa00010,EC:1.1.1.27
hsa,path:hsa00010,EC:1.2.1.47
hsa,path:hsa00010,EC:1.2.1.5
hsa,path:hsa00010,EC:2.7.1.40
hsa,path:hsa00010,EC:3.1.3.9
hsa,path:hsa00010,EC:5.4.2.2
hsa,path:hsa00010,EC:5.3.1.1
hsa,path:hsa00010,EC:3.1.3.80
hsa,path:hsa00010,EC:1.1.1.2
hsa,path:hsa00010,EC:3.1.3.11
hsa,path:hsa00010,EC:1.1.1.284
hsa,path:hsa00010,EC:3.1.3.62
hsa,path:hsa00010,EC:5.4.2.7
